Source,Target,Type,id,label,timeset,weight
AFLCIO,FightFor15FL,Directed,54210,,,1.0
jwjnational,AFLCIO,Directed,54416,,,1.0
fightfor15,aMustReid,Directed,54557,,,1.0
OccupyWallStNYC,figue32bj,Directed,54653,,,1.0
OccupyWallStNYC,FastFoodForward,Directed,54659,,,1.0
OccupyWallStNYC,chifightfor15,Directed,54663,,,2.0
OccupyWallStNYC,UR_Ninja,Directed,54671,,,1.0
OccupyWallStNYC,CommsUnited,Directed,54679,,,1.0
OccupyWallStNYC,Shelly_Ruzicka,Directed,54681,,,1.0
OccupyWallStNYC,MarkRuffalo,Directed,54689,,,1.0
OccupyWallStNYC,AriseChicago,Directed,54700,,,1.0
OccupyWallStNYC,fightfor15,Directed,54717,,,2.0
OccupyWallStNYC,FightFor15FL,Directed,54726,,,1.0
ryanstopera,fightfor15,Directed,54804,,,1.0
GoodAirports,aMustReid,Directed,55048,,,1.0
pragmactivist,OurRevolution2,Directed,55108,,,2.0
pragmactivist,fightfor15mass,Directed,55114,,,2.0
AFLCIO,MarkRuffalo,Directed,55339,,,1.0
MaryKayHenry,Show_Me15,Directed,55399,,,3.0
fightfor15,AFLCIO,Directed,55411,,,1.0
CTUL_TC,AFLCIO,Directed,55431,,,1.0
GoodAirports,AFLCIO,Directed,55447,,,1.0
People4Bernie,DerenicByrd,Directed,55539,,,1.0
People4Bernie,PascoRevolution,Directed,55564,,,1.0
SEIU,FightFor15FL,Directed,55689,,,1.0
SEIU,fightfor15texas,Directed,55873,,,1.0
MaryKayHenry,RaiseUpfor15,Directed,55931,,,1.0
